Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,18,Male,Hoodie,Outerwear,21,New Hampshire,L,Pink,Fall,4.1,Yes,Express,Yes,No,46,UPI,Quarterly
2,43,Female,Sandals,Footwear,64,Idaho,M,Maroon,Winter,4.4,Yes,Express,No,No,2,Cash,Monthly
3,25,Female,Pants,Clothing,47,Mississippi,M,Gray,Winter,4.5,Yes,Next Day,Yes,No,17,PayPal,Monthly
4,59,Female,Coat,Outerwear,39,Arizona,XL,Green,Summer,2.9,Yes,Next Day,Yes,Yes,34,Debit Card,Fortnightly
5,,Female,Coat,Outerwear,91,Pennsylvania,M,Green,Spring,3.4,Yes,Standard,Yes,Yes,16,PayPal,Bi-Weekly
6,35,Male,Boots,Footwear,85,Delaware,S,Maroon,Spring,2.3,Yes,Next Day,Yes,No,23,UPI,Bi-Weekly
7,59,Female,Sneakers,Footwear,57,Wisconsin,S,Green,Summer,3.8,No,Standard,No,No,49,PayPal,Bi-Weekly
8,28,Female,Jeans,Clothing,83,Wisconsin,XL,White,Summer,3.9,Yes,Standard,Yes,No,48,PayPal,Quarterly
9,,Male,Blazer,Outerwear,38,North Carolina,XL,White,Fall,4.4,No,Express,Yes,No,10,UPI,Bi-Weekly
10,27,Female,Sunglasses,Accessories,96,Hawaii,L,Pink,Fall,2.1,Yes,Free Shipping,No,No,1,Cash,Weekly
11,34,Male,Loafers,Footwear,99,New Hampshire,M,Black,Winter,3.1,No,Express,No,No,9,UPI,Bi-Weekly
12,,Female,Coat,Outerwear,99,Rhode Island,XL,Green,Summer,2.1,No,Store Pickup,No,No,20,Debit Card,Weekly
13,62,,Shirt,Clothing,21,Illinois,M,Gray,Summer,2.8,No,Express,Yes,Yes,6,Cash,Fortnightly
14,21,Male,Loafers,Footwear,54,Nebraska,XL,Gray,Winter,2.8,Yes,Standard,Yes,No,4,Debit Card,Weekly
15,44,Female,Sunglasses,Accessories,71,New Mexico,M,,Fall,4.5,No,Store Pickup,No,No,46,PayPal,Monthly
16,61,,Hoodie,Outerwear,11,Colorado,S,White,Fall,2.9,Yes,Next Day,No,Yes,48,UPI,Monthly
17,48,Female,Bag,Accessories,44,Maryland,XL,,Spring,4.7,Yes,Next Day,No,Yes,13,Cash,Quarterly
18,64,Female,Blazer,Outerwear,54,Arkansas,XL,Gray,Winter,2.8,No,Standard,No,Yes,16,Debit Card,Weekly
19,56,Female,Sunglasses,Accessories,34,New York,L,White,Fall,2.8,No,Standard,No,No,42,Debit Card,Weekly
20,33,Male,Shirt,Clothing,78,Maryland,L,Blue,Spring,3.5,Yes,Free Shipping,No,No,33,PayPal,Bi-Weekly
